source,target,relation_type,tweet_id,usernames
942309354,1744119413383598080,mentioned,1833171131727032574,"('sor_monroy', 'FJimenezmingob')"
942309354,93938886,mentioned,1833171131727032574,"('sor_monroy', 'traficogt')"
942309354,89030065,mentioned,1833171131727032574,"('sor_monroy', 'mingobguate')"
942309354,130315077,mentioned,1833171131727032574,"('sor_monroy', 'PNCdeGuatemala')"
942309354,260318585,mentioned,1833171131727032574,"('sor_monroy', 'DiariodeCA')"
942309354,235332308,mentioned,1833171131727032574,"('sor_monroy', 'AGN_noticias')"
942309354,145724847,mentioned,1833171131727032574,"('sor_monroy', 'Radio_TGW')"
942309354,495102115,mentioned,1833171131727032574,"('sor_monroy', 'GuatemalaGob')"
889303115710836736,1816584656868831234,mentioned,1833167775948267861,"('MMiaumersons', 'erwin_fern84019')"
889303115710836736,2460672423,mentioned,1833167775948267861,"('MMiaumersons', 'piero_coen')"
889303115710836736,1744119413383598080,mentioned,1833167775948267861,"('MMiaumersons', 'FJimenezmingob')"
889303115710836736,93938886,mentioned,1833167775948267861,"('MMiaumersons', 'traficogt')"
889303115710836736,89030065,mentioned,1833167775948267861,"('MMiaumersons', 'mingobguate')"
889303115710836736,130315077,mentioned,1833167775948267861,"('MMiaumersons', 'PNCdeGuatemala')"
889303115710836736,260318585,mentioned,1833167775948267861,"('MMiaumersons', 'DiariodeCA')"
889303115710836736,235332308,mentioned,1833167775948267861,"('MMiaumersons', 'AGN_noticias')"
889303115710836736,145724847,mentioned,1833167775948267861,"('MMiaumersons', 'Radio_TGW')"
889303115710836736,495102115,mentioned,1833167775948267861,"('MMiaumersons', 'GuatemalaGob')"
1816584656868831234,2460672423,mentioned,1833165720688935030,"('erwin_fern84019', 'piero_coen')"
1816584656868831234,1744119413383598080,mentioned,1833165720688935030,"('erwin_fern84019', 'FJimenezmingob')"
1816584656868831234,93938886,mentioned,1833165720688935030,"('erwin_fern84019', 'traficogt')"
1816584656868831234,89030065,mentioned,1833165720688935030,"('erwin_fern84019', 'mingobguate')"
1816584656868831234,130315077,mentioned,1833165720688935030,"('erwin_fern84019', 'PNCdeGuatemala')"
1816584656868831234,260318585,mentioned,1833165720688935030,"('erwin_fern84019', 'DiariodeCA')"
1816584656868831234,235332308,mentioned,1833165720688935030,"('erwin_fern84019', 'AGN_noticias')"
1816584656868831234,145724847,mentioned,1833165720688935030,"('erwin_fern84019', 'Radio_TGW')"
1816584656868831234,495102115,mentioned,1833165720688935030,"('erwin_fern84019', 'GuatemalaGob')"
103742299,1744119413383598080,mentioned,1833164002769154418,"('rivera_bambu', 'FJimenezmingob')"
103742299,93938886,mentioned,1833164002769154418,"('rivera_bambu', 'traficogt')"
103742299,89030065,mentioned,1833164002769154418,"('rivera_bambu', 'mingobguate')"
103742299,130315077,mentioned,1833164002769154418,"('rivera_bambu', 'PNCdeGuatemala')"
103742299,260318585,mentioned,1833164002769154418,"('rivera_bambu', 'DiariodeCA')"
103742299,235332308,mentioned,1833164002769154418,"('rivera_bambu', 'AGN_noticias')"
103742299,145724847,mentioned,1833164002769154418,"('rivera_bambu', 'Radio_TGW')"
103742299,495102115,mentioned,1833164002769154418,"('rivera_bambu', 'GuatemalaGob')"
2460672423,1744119413383598080,mentioned,1833163073567248854,"('piero_coen', 'FJimenezmingob')"
2460672423,93938886,mentioned,1833163073567248854,"('piero_coen', 'traficogt')"
2460672423,89030065,mentioned,1833163073567248854,"('piero_coen', 'mingobguate')"
2460672423,130315077,mentioned,1833163073567248854,"('piero_coen', 'PNCdeGuatemala')"
2460672423,260318585,mentioned,1833163073567248854,"('piero_coen', 'DiariodeCA')"
2460672423,235332308,mentioned,1833163073567248854,"('piero_coen', 'AGN_noticias')"
2460672423,145724847,mentioned,1833163073567248854,"('piero_coen', 'Radio_TGW')"
2460672423,495102115,mentioned,1833163073567248854,"('piero_coen', 'GuatemalaGob')"
3160454737,372126670,mentioned,1833151842772992423,"('contreras_tani', 'amilcarmontejo')"
3160454737,93938886,mentioned,1833151842772992423,"('contreras_tani', 'traficogt')"
723873907,93938886,mentioned,1833095032829518142,"('express_foto', 'traficogt')"
723873907,372126670,mentioned,1833095032829518142,"('express_foto', 'amilcarmontejo')"
723873907,1687984068,mentioned,1833095032829518142,"('express_foto', 'soy_502')"
723873907,38687143,mentioned,1833095032829518142,"('express_foto', 'prensa_libre')"
723873907,93938886,mentioned,1832978253738303569,"('express_foto', 'traficogt')"
1155617398675988481,40256008,mentioned,1832855104464290053,"('CubReserva', 'EmisorasUnidas')"
1155617398675988481,1915801717,mentioned,1832855104464290053,"('CubReserva', '_ojoconmipisto')"
1155617398675988481,1687984068,mentioned,1832855104464290053,"('CubReserva', 'soy_502')"
1155617398675988481,4353722955,mentioned,1832855104464290053,"('CubReserva', 'pattyo502')"
1155617398675988481,1320661748,mentioned,1832855104464290053,"('CubReserva', 'CONAPgt')"
1155617398675988481,498970290,mentioned,1832855104464290053,"('CubReserva', 'marnguate')"
1155617398675988481,43971175,mentioned,1832855104464290053,"('CubReserva', 'Guatevision_tv')"
1155617398675988481,710243881409839104,mentioned,1832855104464290053,"('CubReserva', 'PublinewsGT')"
1155617398675988481,221932544,mentioned,1832855104464290053,"('CubReserva', 'AztecaNoticiaGT')"
1155617398675988481,1767300056569315328,mentioned,1832855104464290053,"('CubReserva', 'eP_investiga')"
1155617398675988481,1831093180407627776,mentioned,1832855104464290053,"('CubReserva', 'vecinosz16')"
1155617398675988481,1323798164,mentioned,1832855104464290053,"('CubReserva', 'luisvengt')"
1155617398675988481,1384532486575820803,mentioned,1832855104464290053,"('CubReserva', 'QuorumGT')"
1155617398675988481,228171408,mentioned,1832855104464290053,"('CubReserva', 'TN23NOTICIAS')"
1155617398675988481,93938886,mentioned,1832855104464290053,"('CubReserva', 'traficogt')"
1155617398675988481,46398081,mentioned,1832855104464290053,"('CubReserva', 'karinapazGt')"
1155617398675988481,1545610440780169216,mentioned,1832855104464290053,"('CubReserva', 'Josechic86')"
1155617398675988481,338653885,mentioned,1832855104464290053,"('CubReserva', 'samuel_pz')"
1155617398675988481,202303067,mentioned,1832855104464290053,"('CubReserva', 'mmendoza_GT')"
1155617398675988481,74015550,mentioned,1832855104464290053,"('CubReserva', 'TelediarioGT')"
1155617398675988481,495102115,mentioned,1832855104464290053,"('CubReserva', 'GuatemalaGob')"
1155617398675988481,446093953,mentioned,1832855104464290053,"('CubReserva', 'NilrilesoR')"
1155617398675988481,3365924892,mentioned,1832855104464290053,"('CubReserva', 'oco_motora')"
1155617398675988481,450859699,mentioned,1832855104464290053,"('CubReserva', 'Alex_balsells')"
1155617398675988481,168557941,mentioned,1832855104464290053,"('CubReserva', 'lahoragt')"
1155617398675988481,298862867,mentioned,1832855104464290053,"('CubReserva', 'JLFont001')"
1155617398675988481,309408222,mentioned,1832855104464290053,"('CubReserva', 'jpdardon')"
1155617398675988481,3301285679,mentioned,1832855104464290053,"('CubReserva', 'justiciayagt')"
1155617398675988481,1497364184799096834,mentioned,1832855104464290053,"('CubReserva', 'Zoom_502gt')"
1155617398675988481,252783353,mentioned,1832855104464290053,"('CubReserva', 'PlazaPublicaGT')"
1822024509375049731,93938886,mentioned,1832797622265950456,"('ElmerLandazuri7', 'traficogt')"
2224026458,1032020094237466624,mentioned,1832496499327947068,"('molinerosed', 'Noti_Atlantico')"
2224026458,94355727,mentioned,1832496499327947068,"('molinerosed', 'muniguate')"
2224026458,404505766,mentioned,1832496499327947068,"('molinerosed', 'bomberosmuni')"
2224026458,306279394,mentioned,1832496499327947068,"('molinerosed', 'BVoluntariosGT')"
2224026458,74015550,mentioned,1832496499327947068,"('molinerosed', 'TelediarioGT')"
2224026458,112886016,mentioned,1832496499327947068,"('molinerosed', 'T13Noticias')"
2224026458,93938886,mentioned,1832496499327947068,"('molinerosed', 'traficogt')"
1535855283850776576,93938886,mentioned,1832166823317356587,"('Jul_Sando_1962', 'traficogt')"
93938886,87101238,quote,1832165300231446534,"('traficogt', 'Sonny_Figueroa')"
87101238,94355727,mentioned,1831497494850912630,"('Sonny_Figueroa', 'muniguate')"
87101238,991834302781456384,mentioned,1831497494850912630,"('Sonny_Figueroa', 'RQuinonezL')"
87101238,94355727,mentioned,1831497494850912630,"('Sonny_Figueroa', 'muniguate')"
87101238,155964429,mentioned,1831497494850912630,"('Sonny_Figueroa', 'BancoIndustrial')"
3313756851,372126670,mentioned,1832081861977244056,"('eeliezer1985', 'amilcarmontejo')"
3313756851,94355727,mentioned,1832081861977244056,"('eeliezer1985', 'muniguate')"
3313756851,93938886,mentioned,1832081861977244056,"('eeliezer1985', 'traficogt')"
3313756851,604917414,mentioned,1832081861977244056,"('eeliezer1985', 'DTransitoPNC')"
93938886,1476238463032868880,mentioned,1832046071259750422,"('traficogt', 'PartidoUne')"
93938886,605571056,mentioned,1832046071259750422,"('traficogt', 'SandraTorresGUA')"
93938886,609174347,mentioned,1832046071259750422,"('traficogt', 'MPguatemala')"
896567204266770434,2500782616,quote,1831907990305485291,"('GigantedeColch', 'viniciogutierr3')"
896567204266770434,143108901,mentioned,1831907990305485291,"('GigantedeColch', 'scpmuni')"
896567204266770434,1687984068,mentioned,1831907990305485291,"('GigantedeColch', 'soy_502')"
896567204266770434,93938886,mentioned,1831907990305485291,"('GigantedeColch', 'traficogt')"
896567204266770434,1687984068,mentioned,1831836613548372157,"('GigantedeColch', 'soy_502')"
896567204266770434,945378369818058752,mentioned,1831836613548372157,"('GigantedeColch', 'BArevalodeLeon')"
896567204266770434,612845237,mentioned,1831836613548372157,"('GigantedeColch', 'COVIAL_CIV')"
896567204266770434,93938886,mentioned,1831836613548372157,"('GigantedeColch', 'traficogt')"
1467115318149529602,93938886,mentioned,1831717809992147347,"('arthurShp_wf', 'traficogt')"
1674409940,1470400596796751883,mentioned,1831702603337531468,"('carlosrkestler', 'jpablo998af')"
1674409940,93938886,mentioned,1831702603337531468,"('carlosrkestler', 'traficogt')"
1674409940,252783353,mentioned,1831702603337531468,"('carlosrkestler', 'PlazaPublicaGT')"
371901619,372126670,mentioned,1831691498955407618,"('vir129', 'amilcarmontejo')"
371901619,94355727,mentioned,1831691498955407618,"('vir129', 'muniguate')"
371901619,93938886,mentioned,1831691498955407618,"('vir129', 'traficogt')"
1323748334,93938886,mentioned,1831505239738085568,"('bayronortega68', 'traficogt')"
93938886,1767300056569315328,quote,1831502657854566704,"('traficogt', 'eP_investiga')"
93938886,1168656310751191042,quote,1831497800154316841,"('traficogt', 'Ricigt1')"
3743727432,93938886,mentioned,1831464971387244669,"('CbastianCruz', 'traficogt')"
357860767,168557941,mentioned,1831449219372347446,"('mlopezguate', 'lahoragt')"
357860767,93938886,mentioned,1831449219372347446,"('mlopezguate', 'traficogt')"
40911495,894356437366956032,mentioned,1831446307728453928,"('ArKMazariegos', 'Sankevins')"
40911495,93938886,mentioned,1831446307728453928,"('ArKMazariegos', 'traficogt')"
93938886,3365924892,quote,1831445379499618480,"('traficogt', 'oco_motora')"
93938886,168557941,quote,1831442977941811505,"('traficogt', 'lahoragt')"
1470400596796751883,1674409940,mentioned,1831442761649951099,"('jpablo998af', 'carlosrkestler')"
1470400596796751883,93938886,mentioned,1831442761649951099,"('jpablo998af', 'traficogt')"
1470400596796751883,252783353,mentioned,1831442761649951099,"('jpablo998af', 'PlazaPublicaGT')"
1818817483459211264,93938886,mentioned,1831321576790184416,"('Edvin111956', 'traficogt')"
1818817483459211264,93938886,mentioned,1831321512013377573,"('Edvin111956', 'traficogt')"
1633138526874116097,93938886,mentioned,1831018517145014393,"('eddyarredondo23', 'traficogt')"
93938886,1168656310751191042,quote,1831016374061142047,"('traficogt', 'Ricigt1')"
1821807105470558208,612845237,mentioned,1831011023395951041,"('Ed8Sv', 'COVIAL_CIV')"
1821807105470558208,945378369818058752,mentioned,1831011023395951041,"('Ed8Sv', 'BArevalodeLeon')"
1821807105470558208,93938886,mentioned,1831011023395951041,"('Ed8Sv', 'traficogt')"
390401921,93938886,mentioned,1830976298015199442,"('Marco06Ruiz', 'traficogt')"
390401921,945378369818058752,mentioned,1830976298015199442,"('Marco06Ruiz', 'BArevalodeLeon')"
93938886,1540479677973807108,quote,1830959700130586765,"('traficogt', 'discosbeagle')"
93938886,1224380605145735168,quote,1830959047698227275,"('traficogt', 'BernardoCaal2')"
93938886,38687143,quote,1830957946223681576,"('traficogt', 'prensa_libre')"
